"client_id","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","subscribe"
56,25,"unemployed","married","high.school","unknown","unknown","unknown","cellular","jul","fri",10,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
57,42,"technician","married","university.degree","no","yes","no","telephone","nov","fri",7,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,0
58,52,"blue-collar","married","basic.9y","no","unknown","unknown","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
59,44,"blue-collar","married","basic.4y","unknown","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
61,54,"management","married","university.degree","no","yes","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
62,56,"services","single","basic.4y","unknown","yes","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
63,30,"technician","single","professional.course","no","yes","yes","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
64,49,"admin.","married","university.degree","no","yes","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.259,5099.1,0
65,32,"technician","single","university.degree","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,0
66,76,"retired","single","basic.4y","no","no","no","cellular","nov","mon",4,6,1,"success",-3.4,92.649,-30.1,0.715,5017.5,1
67,54,"blue-collar","married","basic.4y","unknown","no","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
68,48,"retired","married","basic.4y","unknown","no","yes","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
70,34,"blue-collar","married","basic.4y","unknown","no","no","telephone","jun","tue",5,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
72,36,"admin.","married","university.degree","no","yes","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
73,56,"admin.","married","high.school","unknown","no","no","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
74,48,"technician","married","professional.course","unknown","yes","no","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,0
77,59,"retired","married","professional.course","unknown","no","no","telephone","may","wed",5,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
78,45,"management","married","unknown","unknown","yes","no","telephone","jun","wed",3,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
79,33,"admin.","single","high.school","no","yes","no","cellular","jun","tue",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,0
80,38,"admin.","single","university.degree","no","yes","yes","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
81,33,"admin.","married","high.school","no","yes","no","cellular","sep","tue",1,999,0,"nonexistent",-3.4,92.379,-29.8,0.819,5017.5,1
82,34,"blue-collar","divorced","professional.course","no","no","no","telephone","jun","fri",23,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,0
83,32,"blue-collar","divorced","professional.course","no","yes","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
84,56,"admin.","single","basic.9y","no","yes","no","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
87,51,"blue-collar","married","basic.4y","unknown","no","no","cellular","may","mon",2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,0
89,34,"technician","married","university.degree","no","yes","no","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,0
90,47,"admin.","divorced","high.school","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
91,32,"unknown","unknown","university.degree","no","yes","yes","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
92,26,"admin.","single","university.degree","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
93,50,"entrepreneur","married","university.degree","no","yes","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
94,45,"unknown","married","unknown","no","no","no","telephone","jun","fri",4,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
95,24,"technician","single","professional.course","no","no","no","cellular","may","thu",1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,0
97,31,"services","married","high.school","no","yes","no","telephone","jun","fri",1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,0
98,55,"blue-collar","divorced","basic.4y","unknown","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,0
99,43,"blue-collar","married","basic.9y","no","no","no","telephone","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
101,46,"technician","married","professional.course","unknown","no","no","cellular","aug","tue",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
102,34,"blue-collar","divorced","basic.4y","unknown","no","no","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,0
105,56,"entrepreneur","married","university.degree","unknown","no","no","cellular","nov","thu",2,3,1,"success",-0.1,93.2,-42,4.076,5195.8,0
107,37,"blue-collar","married","high.school","unknown","no","no","cellular","may","fri",2,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,0
108,60,"technician","married","university.degree","no","yes","no","cellular","aug","tue",8,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
109,66,"retired","married","basic.4y","unknown","unknown","unknown","cellular","oct","wed",1,6,3,"success",-1.1,94.601,-49.5,0.985,4963.6,1
111,32,"admin.","married","university.degree","no","yes","no","cellular","nov","wed",3,999,0,"nonexistent",-1.1,94.767,-50.8,1.03,4963.6,0
112,29,"admin.","single","university.degree","no","no","no","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
113,32,"blue-collar","married","basic.6y","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,0
116,60,"retired","divorced","professional.course","no","no","no","cellular","jul","mon",7,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
117,37,"blue-collar","divorced","basic.9y","no","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
118,43,"technician","single","professional.course","no","yes","no","telephone","may","mon",8,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
121,47,"management","divorced","university.degree","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
122,30,"management","single","university.degree","no","no","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,0
123,32,"management","married","university.degree","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
125,61,"retired","divorced","university.degree","no","no","no","cellular","apr","thu",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,1
127,29,"admin.","single","university.degree","no","yes","no","telephone","jul","thu",3,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,0
128,37,"management","married","university.degree","no","yes","no","cellular","nov","fri",8,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,0
129,43,"blue-collar","married","basic.6y","no","no","yes","cellular","may","fri",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,0
132,41,"technician","divorced","basic.4y","no","yes","no","telephone","jun","fri",2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,0
133,48,"admin.","divorced","university.degree","no","no","no","cellular","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,1
134,53,"management","married","university.degree","no","yes","no","cellular","aug","mon",12,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
135,31,"admin.","single","university.degree","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,0
136,49,"entrepreneur","married","university.degree","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
138,31,"technician","single","professional.course","no","yes","no","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
139,31,"services","single","high.school","no","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,0
140,37,"technician","married","professional.course","no","no","no","cellular","aug","mon",6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
141,51,"admin.","divorced","basic.9y","no","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
143,50,"blue-collar","married","professional.course","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,0
144,43,"housemaid","married","basic.4y","unknown","no","yes","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
145,41,"blue-collar","married","high.school","no","yes","no","cellular","may","fri",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,0
146,46,"management","married","basic.4y","unknown","no","no","telephone","may","thu",7,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
148,32,"blue-collar","single","high.school","no","no","no","cellular","jun","mon",1,2,2,"success",-1.7,94.055,-39.8,0.754,4991.6,1
149,24,"services","single","unknown","no","no","no","cellular","mar","tue",1,999,0,"nonexistent",-1.8,92.843,-50,1.799,5099.1,0
150,39,"housemaid","married","basic.9y","no","no","no","telephone","may","tue",3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
151,48,"admin.","single","university.degree","no","yes","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
152,58,"retired","married","basic.4y","unknown","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
154,27,"student","single","university.degree","no","no","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,0
155,34,"blue-collar","married","basic.9y","no","yes","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
156,28,"technician","single","professional.course","no","no","yes","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
158,37,"technician","divorced","professional.course","no","no","yes","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
161,43,"admin.","divorced","basic.9y","no","yes","no","cellular","may","mon",1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,0
162,40,"blue-collar","married","high.school","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
163,32,"blue-collar","married","basic.9y","no","yes","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
165,33,"admin.","single","high.school","no","yes","no","cellular","apr","wed",3,999,0,"nonexistent",-1.8,93.075,-47.1,1.372,5099.1,1
166,33,"admin.","single","university.degree","no","yes","no","cellular","may","wed",8,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
167,50,"blue-collar","single","basic.9y","unknown","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
168,30,"management","married","university.degree","no","no","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,0
170,43,"blue-collar","married","basic.4y","no","yes","no","telephone","jul","thu",3,999,0,"nonexistent",1.4,93.918,-42.7,4.966,5228.1,0
173,25,"blue-collar","married","basic.9y","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
175,36,"blue-collar","married","basic.6y","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
176,44,"technician","divorced","professional.course","unknown","no","no","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
177,82,"retired","divorced","basic.4y","no","yes","no","cellular","sep","thu",2,999,1,"failure",-1.1,94.199,-37.5,0.879,4963.6,1
179,32,"admin.","single","university.degree","unknown","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
180,55,"entrepreneur","married","university.degree","unknown","no","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
183,46,"management","married","basic.9y","no","yes","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
185,31,"self-employed","single","university.degree","no","no","no","cellular","nov","fri",1,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,0
188,34,"self-employed","married","illiterate","no","yes","no","cellular","nov","thu",1,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,0
189,28,"admin.","married","university.degree","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
190,41,"technician","married","university.degree","no","yes","yes","cellular","nov","fri",1,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,0
191,46,"services","married","high.school","no","yes","no","cellular","may","thu",1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,0
193,38,"admin.","married","high.school","no","no","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,0
196,45,"unknown","married","unknown","no","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
198,43,"entrepreneur","married","professional.course","no","no","no","cellular","may","fri",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,0
200,31,"technician","single","professional.course","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
201,37,"admin.","married","university.degree","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
202,32,"technician","single","university.degree","no","yes","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
205,54,"services","married","high.school","no","no","no","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,0
207,41,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue",6,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
210,35,"admin.","married","high.school","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
211,35,"admin.","married","university.degree","no","yes","no","cellular","nov","wed",2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,1
212,32,"blue-collar","married","high.school","unknown","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
213,62,"retired","married","high.school","no","no","no","cellular","oct","wed",1,6,1,"success",-3.4,92.431,-26.9,0.724,5017.5,1
214,30,"technician","unknown","university.degree","no","no","no","cellular","oct","fri",2,16,1,"success",-1.1,94.601,-49.5,0.942,4963.6,0
215,61,"blue-collar","married","high.school","no","no","no","cellular","oct","wed",1,2,1,"success",-3.4,92.431,-26.9,0.724,5017.5,0
217,25,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
218,37,"services","single","high.school","no","yes","no","cellular","may","thu",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
219,53,"admin.","divorced","high.school","no","yes","yes","telephone","nov","fri",2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,0
220,47,"technician","divorced","high.school","no","yes","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,0
221,40,"management","single","high.school","no","no","no","cellular","jul","wed",4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
222,31,"admin.","married","university.degree","no","no","no","cellular","may","wed",5,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
223,48,"blue-collar","married","basic.9y","no","yes","yes","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,0
224,28,"admin.","single","high.school","no","yes","no","cellular","mar","fri",1,999,0,"nonexistent",-1.8,92.843,-50,1.531,5099.1,0
225,36,"admin.","single","university.degree","no","no","no","cellular","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
226,34,"admin.","single","university.degree","no","no","no","telephone","mar","tue",1,3,1,"success",-1.8,93.369,-34.8,0.652,5008.7,1
228,41,"self-employed","married","basic.9y","no","yes","no","telephone","jun","wed",7,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,0
229,38,"blue-collar","married","professional.course","no","yes","no","cellular","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,0
231,48,"services","single","basic.4y","unknown","yes","yes","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,0
233,32,"technician","single","university.degree","no","no","no","cellular","apr","wed",3,999,0,"nonexistent",-1.8,93.075,-47.1,1.445,5099.1,0
234,27,"technician","single","professional.course","no","yes","yes","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
235,34,"technician","married","professional.course","no","yes","no","cellular","apr","fri",2,6,2,"success",-1.8,93.749,-34.6,0.663,5008.7,0
236,38,"admin.","single","university.degree","no","yes","no","telephone","sep","tue",1,999,0,"nonexistent",-3.4,92.379,-29.8,0.819,5017.5,0
238,55,"unemployed","married","basic.9y","no","no","yes","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.264,5099.1,1
239,36,"services","single","basic.6y","unknown","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
241,44,"blue-collar","divorced","basic.4y","unknown","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
242,35,"blue-collar","married","professional.course","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,0
243,46,"admin.","married","high.school","no","yes","no","cellular","jul","tue",6,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
244,46,"technician","married","basic.9y","no","yes","no","cellular","nov","tue",1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,0
245,40,"services","married","unknown","no","yes","no","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
246,23,"services","single","high.school","no","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
247,33,"blue-collar","divorced","basic.9y","unknown","no","no","telephone","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
249,24,"unemployed","married","university.degree","no","yes","no","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,0
251,52,"admin.","married","university.degree","unknown","yes","no","telephone","jun","wed",3,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,0
252,39,"entrepreneur","married","high.school","no","no","no","cellular","apr","fri",1,999,2,"failure",-1.8,93.075,-47.1,1.479,5099.1,0
253,36,"technician","married","basic.9y","no","yes","no","cellular","may","tue",2,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,0
255,35,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
256,30,"technician","married","professional.course","no","unknown","unknown","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
259,43,"blue-collar","married","basic.4y","no","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
260,42,"technician","divorced","professional.course","no","yes","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
261,53,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","tue",5,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
262,44,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
263,50,"admin.","married","university.degree","no","no","yes","cellular","nov","tue",1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,0
265,67,"admin.","married","basic.4y","unknown","no","no","cellular","jun","tue",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,1
267,27,"admin.","single","university.degree","no","no","no","telephone","oct","tue",1,999,0,"nonexistent",-0.1,93.798,-40.4,4.86,5195.8,1
269,37,"blue-collar","divorced","professional.course","no","yes","no","cellular","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
270,26,"blue-collar","married","basic.9y","unknown","no","yes","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
271,28,"student","single","university.degree","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,0
272,42,"self-employed","married","university.degree","no","yes","no","cellular","apr","tue",1,999,1,"failure",-1.8,93.075,-47.1,1.423,5099.1,1
274,46,"entrepreneur","married","university.degree","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
275,31,"admin.","married","university.degree","no","no","no","cellular","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
277,35,"blue-collar","married","basic.6y","unknown","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
279,36,"technician","married","professional.course","no","no","no","telephone","may","wed",10,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
280,32,"blue-collar","divorced","basic.9y","no","yes","no","cellular","jul","tue",4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
281,44,"technician","single","professional.course","no","yes","yes","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
282,31,"services","divorced","high.school","no","no","no","cellular","apr","mon",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
283,31,"technician","single","university.degree","no","yes","yes","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
284,41,"services","married","high.school","unknown","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
